Date,Open,High,Low,Close,Volume,Adj Close
2011-01-28 00:00:00,82.03,82.03,82.03,82.03,1000000,82.03
2011-01-31 00:00:00,81.97,81.97,81.97,81.97,1000000,81.97
2011-02-01 00:00:00,81.48,81.48,81.48,81.48,1000000,81.48
2011-02-02 00:00:00,81.82,81.82,81.82,81.82,1000000,81.82
2011-02-03 00:00:00,81.48,81.48,81.48,81.48,1000000,81.48
2011-02-04 00:00:00,81.99,81.99,81.99,81.99,1000000,81.99
2011-02-07 00:00:00,82.4,82.4,82.4,82.4,1000000,82.4
2011-02-08 00:00:00,81.92,81.92,81.92,81.92,1000000,81.92
2011-02-09 00:00:00,82.47,82.47,82.47,82.47,1000000,82.47
2011-02-10 00:00:00,83.11,83.11,83.11,83.11,1000000,83.11
2011-02-11 00:00:00,83.52,83.52,83.52,83.52,1000000,83.52
2011-02-14 00:00:00,83.32,83.32,83.32,83.32,1000000,83.32
2011-02-15 00:00:00,83.79,83.79,83.79,83.79,1000000,83.79
2011-02-16 00:00:00,83.73,83.73,83.73,83.73,1000000,83.73
2011-02-17 00:00:00,83.25,83.25,83.25,83.25,1000000,83.25
2011-02-18 00:00:00,83.22,83.22,83.22,83.22,1000000,83.22
2011-02-22 00:00:00,82.94,82.94,82.94,82.94,1000000,82.94
2011-02-23 00:00:00,82.39,82.39,82.39,82.39,1000000,82.39
2011-02-24 00:00:00,81.67,81.67,81.67,81.67,1000000,81.67
2011-02-25 00:00:00,81.76,81.76,81.76,81.76,1000000,81.76
2011-02-28 00:00:00,81.94,81.94,81.94,81.94,1000000,81.94
2011-03-01 00:00:00,81.86,81.86,81.86,81.86,1000000,81.86
2011-03-02 00:00:00,81.62,81.62,81.62,81.62,1000000,81.62
2011-03-03 00:00:00,82.41,82.41,82.41,82.41,1000000,82.41
2011-03-04 00:00:00,82.35,82.35,82.35,82.35,1000000,82.35
2011-03-07 00:00:00,82.12,82.12,82.12,82.12,1000000,82.12
2011-03-08 00:00:00,82.69,82.69,82.69,82.69,1000000,82.69
2011-03-09 00:00:00,82.78,82.78,82.78,82.78,1000000,82.78
2011-03-10 00:00:00,82.98,82.98,82.98,82.98,1000000,82.98
2011-03-11 00:00:00,81.77,81.77,81.77,81.77,1000000,81.77
2011-03-14 00:00:00,81.65,81.65,81.65,81.65,1000000,81.65
2011-03-15 00:00:00,80.82,80.82,80.82,80.82,1000000,80.82
2011-03-16 00:00:00,80.17,80.17,80.17,80.17,1000000,80.17
2011-03-17 00:00:00,78.74,78.74,78.74,78.74,1000000,78.74
2011-03-18 00:00:00,81.14,81.14,81.14,81.14,1000000,81.14
2011-03-21 00:00:00,81.11,81.11,81.11,81.11,1000000,81.11
2011-03-22 00:00:00,81.0,81.0,81.0,81.0,1000000,81.0
2011-03-23 00:00:00,80.94,80.94,80.94,80.94,1000000,80.94
2011-03-24 00:00:00,80.82,80.82,80.82,80.82,1000000,80.82
2011-03-25 00:00:00,81.12,81.12,81.12,81.12,1000000,81.12
2011-03-28 00:00:00,81.67,81.67,81.67,81.67,1000000,81.67
2011-03-29 00:00:00,82.38,82.38,82.38,82.38,1000000,82.38
2011-03-30 00:00:00,82.98,82.98,82.98,82.98,1000000,82.98
2011-03-31 00:00:00,82.76,82.76,82.76,82.76,1000000,82.76
2011-04-01 00:00:00,84.05,84.05,84.05,84.05,1000000,84.05
2011-04-04 00:00:00,83.98,83.98,83.98,83.98,1000000,83.98
2011-04-05 00:00:00,84.65,84.65,84.65,84.65,1000000,84.65
2011-04-06 00:00:00,85.26,85.26,85.26,85.26,1000000,85.26
2011-04-07 00:00:00,84.98,84.98,84.98,84.98,1000000,84.98
2011-04-08 00:00:00,84.99,84.99,84.99,84.99,1000000,84.99
2011-04-11 00:00:00,84.58,84.58,84.58,84.58,1000000,84.58
2011-04-12 00:00:00,83.79,83.79,83.79,83.79,1000000,83.79
2011-04-13 00:00:00,83.59,83.59,83.59,83.59,1000000,83.59
2011-04-14 00:00:00,83.23,83.23,83.23,83.23,1000000,83.23
2011-04-15 00:00:00,83.13,83.13,83.13,83.13,1000000,83.13
2011-04-18 00:00:00,82.43,82.43,82.43,82.43,1000000,82.43
2011-04-19 00:00:00,82.41,82.41,82.41,82.41,1000000,82.41
2011-04-20 00:00:00,82.58,82.58,82.58,82.58,1000000,82.58
2011-04-21 00:00:00,81.81,81.81,81.81,81.81,1000000,81.81
2011-04-22 00:00:00,81.92,81.92,81.92,81.92,1000000,81.92
2011-04-25 00:00:00,81.93,81.93,81.93,81.93,1000000,81.93
2011-04-26 00:00:00,81.93,81.93,81.93,81.93,1000000,81.93
2011-04-27 00:00:00,82.6,82.6,82.6,82.6,1000000,82.6
2011-04-28 00:00:00,81.57,81.57,81.57,81.57,1000000,81.57
2011-04-29 00:00:00,81.31,81.31,81.31,81.31,1000000,81.31
2011-05-02 00:00:00,81.23,81.23,81.23,81.23,1000000,81.23
2011-05-03 00:00:00,81.02,81.02,81.02,81.02,1000000,81.02
2011-05-04 00:00:00,80.69,80.69,80.69,80.69,1000000,80.69
2011-05-05 00:00:00,80.12,80.12,80.12,80.12,1000000,80.12
2011-05-06 00:00:00,80.51,80.51,80.51,80.51,1000000,80.51
2011-05-09 00:00:00,80.66,80.66,80.66,80.66,1000000,80.66
2011-05-10 00:00:00,80.75,80.75,80.75,80.75,1000000,80.75
2011-05-11 00:00:00,80.78,80.78,80.78,80.78,1000000,80.78
2011-05-12 00:00:00,80.75,80.75,80.75,80.75,1000000,80.75
2011-05-13 00:00:00,80.76,80.76,80.76,80.76,1000000,80.76
2011-05-16 00:00:00,80.82,80.82,80.82,80.82,1000000,80.82
2011-05-17 00:00:00,81.39,81.39,81.39,81.39,1000000,81.39
2011-05-18 00:00:00,81.37,81.37,81.37,81.37,1000000,81.37
2011-05-19 00:00:00,81.78,81.78,81.78,81.78,1000000,81.78
2011-05-20 00:00:00,81.64,81.64,81.64,81.64,1000000,81.64
2011-05-23 00:00:00,81.81,81.81,81.81,81.81,1000000,81.81
2011-05-24 00:00:00,82.12,82.12,82.12,82.12,1000000,82.12
2011-05-25 00:00:00,81.96,81.96,81.96,81.96,1000000,81.96
2011-05-26 00:00:00,81.44,81.44,81.44,81.44,1000000,81.44
2011-05-27 00:00:00,80.75,80.75,80.75,80.75,1000000,80.75
2011-05-31 00:00:00,81.29,81.29,81.29,81.29,1000000,81.29
2011-06-01 00:00:00,80.82,80.82,80.82,80.82,1000000,80.82
2011-06-02 00:00:00,80.98,80.98,80.98,80.98,1000000,80.98
2011-06-03 00:00:00,80.38,80.38,80.38,80.38,1000000,80.38
2011-06-06 00:00:00,80.19,80.19,80.19,80.19,1000000,80.19
2011-06-07 00:00:00,80.21,80.21,80.21,80.21,1000000,80.21
2011-06-08 00:00:00,79.87,79.87,79.87,79.87,1000000,79.87
2011-06-09 00:00:00,80.07,80.07,80.07,80.07,1000000,80.07
2011-06-10 00:00:00,80.26,80.26,80.26,80.26,1000000,80.26
2011-06-13 00:00:00,80.16,80.16,80.16,80.16,1000000,80.16
2011-06-14 00:00:00,80.5,80.5,80.5,80.5,1000000,80.5
2011-06-15 00:00:00,80.71,80.71,80.71,80.71,1000000,80.71
2011-06-16 00:00:00,80.7,80.7,80.7,80.7,1000000,80.7
2011-06-17 00:00:00,80.1,80.1,80.1,80.1,1000000,80.1
2011-06-20 00:00:00,80.26,80.26,80.26,80.26,1000000,80.26
2011-06-21 00:00:00,80.15,80.15,80.15,80.15,1000000,80.15
2011-06-22 00:00:00,80.06,80.06,80.06,80.06,1000000,80.06
2011-06-23 00:00:00,80.45,80.45,80.45,80.45,1000000,80.45
2011-06-24 00:00:00,80.32,80.32,80.32,80.32,1000000,80.32
2011-06-27 00:00:00,80.89,80.89,80.89,80.89,1000000,80.89
2011-06-28 00:00:00,80.85,80.85,80.85,80.85,1000000,80.85
2011-06-29 00:00:00,80.8,80.8,80.8,80.8,1000000,80.8
2011-06-30 00:00:00,80.64,80.64,80.64,80.64,1000000,80.64
2011-07-01 00:00:00,80.81,80.81,80.81,80.81,1000000,80.81
2011-07-05 00:00:00,81.14,81.14,81.14,81.14,1000000,81.14
2011-07-06 00:00:00,80.9,80.9,80.9,80.9,1000000,80.9
2011-07-07 00:00:00,81.26,81.26,81.26,81.26,1000000,81.26
2011-07-08 00:00:00,80.64,80.64,80.64,80.64,1000000,80.64
2011-07-11 00:00:00,80.37,80.37,80.37,80.37,1000000,80.37
2011-07-12 00:00:00,79.53,79.53,79.53,79.53,1000000,79.53
2011-07-13 00:00:00,78.99,78.99,78.99,78.99,1000000,78.99
2011-07-14 00:00:00,79.11,79.11,79.11,79.11,1000000,79.11
2011-07-15 00:00:00,79.03,79.03,79.03,79.03,1000000,79.03
2011-07-18 00:00:00,79.1,79.1,79.1,79.1,1000000,79.1
2011-07-19 00:00:00,78.91,78.91,78.91,78.91,1000000,78.91
2011-07-20 00:00:00,78.76,78.76,78.76,78.76,1000000,78.76
2011-07-21 00:00:00,78.47,78.47,78.47,78.47,1000000,78.47
2011-07-22 00:00:00,78.44,78.44,78.44,78.44,1000000,78.44
2011-07-25 00:00:00,78.31,78.31,78.31,78.31,1000000,78.31
2011-07-26 00:00:00,78.04,78.04,78.04,78.04,1000000,78.04
2011-07-27 00:00:00,77.99,77.99,77.99,77.99,1000000,77.99
2011-07-28 00:00:00,77.87,77.87,77.87,77.87,1000000,77.87
2011-07-29 00:00:00,77.18,77.18,77.18,77.18,1000000,77.18
2011-08-01 00:00:00,76.87,76.87,76.87,76.87,1000000,76.87
2011-08-02 00:00:00,77.13,77.13,77.13,77.13,1000000,77.13
2011-08-03 00:00:00,76.87,76.87,76.87,76.87,1000000,76.87
2011-08-04 00:00:00,79.01,79.01,79.01,79.01,1000000,79.01
2011-08-05 00:00:00,78.48,78.48,78.48,78.48,1000000,78.48
2011-08-08 00:00:00,77.53,77.53,77.53,77.53,1000000,77.53
2011-08-09 00:00:00,77.16,77.16,77.16,77.16,1000000,77.16
2011-08-10 00:00:00,76.41,76.41,76.41,76.41,1000000,76.41
2011-08-11 00:00:00,76.68,76.68,76.68,76.68,1000000,76.68
2011-08-12 00:00:00,76.79,76.79,76.79,76.79,1000000,76.79
2011-08-15 00:00:00,76.73,76.73,76.73,76.73,1000000,76.73
2011-08-16 00:00:00,76.76,76.76,76.76,76.76,1000000,76.76
2011-08-17 00:00:00,76.46,76.46,76.46,76.46,1000000,76.46
2011-08-18 00:00:00,76.52,76.52,76.52,76.52,1000000,76.52
2011-08-19 00:00:00,76.46,76.46,76.46,76.46,1000000,76.46
2011-08-22 00:00:00,76.77,76.77,76.77,76.77,1000000,76.77
2011-08-23 00:00:00,76.59,76.59,76.59,76.59,1000000,76.59
2011-08-24 00:00:00,76.78,76.78,76.78,76.78,1000000,76.78
2011-08-25 00:00:00,77.38,77.38,77.38,77.38,1000000,77.38
2011-08-26 00:00:00,76.62,76.62,76.62,76.62,1000000,76.62
